"","S112","S118","S121","S126","S127","S131","S137","S141","S143","S144","S146","S153","S155","S158","S186","S187","S193","S194","S195","S198","S200","S205","S224","S225","S227","S229","S231","S235","S239","S243","S244","S248","S249","S258","S263","S264","S268","S269","S278","S286","S288","S290","S297","S299","S304","S305","S312","S317","S327","S330","S332","S334","S342","S344","S347","S349","S350","S353","S354","S356","S365","S367","S370","S372","S378","S380","S381","S384","S389","S393","S395","S397","S398","S420","S421","S422","S424","S432","S434","S436","S439","S441","S446","S451","S456","S457","S458","S462","S463","S468","S470","S472","S475","S476","S478","S479","S483","S484","S485","S487","S488","S495","S497","S51","S517","S524","S526","S529","S53","S530","S536","S54","S543","S547","S550","S551","S552","S558","S561","S563","S577","S58","S584","S587","S589","S59","S591","S598","S60","S600","S602","S604","S614","S617","S618","S628","S638","S640","S643","S646","S655","S77","S80","S88","S92","FeatureID"
"Oscillibacter sp. CAG:241",0,152928,158087,466418,39069,192214,24259,50725,12347,2109,0,200511,105675,674866,75587,3519,736483,36583,73144,137321,225479,0,55210,85910,27418,0,8397,7579,49151,263208,0,81480,5397,514,2158338,108270,3038,376866,238367,89823,0,0,7962,121481,0,287468,23487,4097,22567,549728,31299,37110,22877,0,0,44567,68901,86696,1769,0,464793,0,8922,0,122396,9382,170017,105036,139618,11967,613,4389,0,2202,365173,494161,1563485,0,59041,56359,189,361190,21301,1033,51509,17396,362272,35493,229602,1493,0,12127,78025,565379,151502,24625,222383,4663,66775,502650,148585,4753,18730,10683,36777,50536,945039,0,344641,15897,565,117,183852,0,0,471,125239,375366,0,2326,122408,12687,12395,230084,48523,304209,1071801,157662,153231,0,3554,0,0,6014,0,7257,329066,0,31292,0,84731,40685,121896,110723,0,"Oscillibacter sp. CAG:241"
"Odoribacter splanchnicus",0,134371,42925,112086,81772,93751,11586,54521,0,0,10349,18367,47168,167294,19577,131590,521842,162319,8362,46985,38359,0,120560,70708,48773,25031,8704,10342,4799,29330,0,16481,8726,4937,28676,60287,6427,7637,133896,20998,14709,0,6052,34438,32220,35570,0,193067,25084,59658,0,0,6677,65969,11788,16185,8076,4658,0,0,55519,27509,0,61734,62649,17505,48021,23030,0,0,41832,133169,104292,0,0,72248,40385,0,28490,177359,0,1987,0,0,17678,0,25911,67285,44526,3724,6621,0,13874,130994,29749,0,104142,87444,0,51182,273330,14444,251025,3918,80801,48859,51299,14263,76817,18443,0,36339,123406,31589,0,46456,94896,73130,6551,56045,29696,21091,39262,170411,0,4937,80292,65287,100273,0,8185,0,0,42152,40887,151810,31813,0,135620,64349,4019,88834,41705,67972,0,"Odoribacter splanchnicus"
"Bacteroides ovatus",0,129538,203729,49025,28866,9011,5987,0,6724,460655,1254,116042,107214,224419,29614,0,111591,16781,0,0,5365,0,51363,33075,116996,15461,164952,105048,601,84329,273889,0,168653,219164,0,45937,45251,0,93276,108120,128643,0,29900,25382,5370,274322,24893,1771834,66375,234576,0,0,1558,97558,0,28013,70241,13275,16390,153245,6571,0,2658,0,66454,14878,0,150345,161962,0,6148,115553,169502,0,91065,41430,2052,660,466225,1275,0,182686,645646,3151,25671,366272,15434,0,0,0,35298,88159,18867,15532,14632,0,200032,98162,67163,5289,19635,0,128075,5599,15088,0,26468,60307,19943,13649,105678,50445,292729,32748,55864,445542,56482,63620,168657,20443,0,3687,88817,81361,57802,20828,241942,27276,49036,80271,45613,0,14416,0,0,33977,39883,0,32631,0,16295,0,43858,2896,0,"Bacteroides ovatus"
"Eubacterium ramulus",0,98580,100562,75542,51098,156074,27099,176306,56327,964333,11210,192341,131402,32835,64338,66658,28009,96051,206339,40972,43812,42101,20904,6314,6229,93002,54076,0,51977,0,0,1932,134363,492356,177820,41248,49629,314408,219412,24222,264120,183554,20776,94185,51912,353560,0,5099373,149363,0,8013,73816,19881,0,2129,0,35620,144615,0,282993,0,0,0,1030919,28057,52938,34059,100597,162992,26042,1714,1458,102150,109345,6455,449639,49715,1617,352015,147894,0,261065,96916,0,285975,605278,0,125402,262364,7363,18512,607705,61562,324384,50465,265750,320547,154342,46092,0,39769,202965,133073,217826,53455,162102,64001,278907,14779,31591,123876,167065,171188,125668,0,159424,0,195222,0,118958,12381,22217,168860,34447,212459,134900,102220,0,42365,2613,0,286046,0,21760,0,30673,14993,14705,26821,9304,18779,45925,10044,6232,252272,"Eubacterium ramulus"
"Bacteroides cellulosilyticus",0,93010,0,12439,0,317533,5530,662134,591782,0,2406,88794,405753,894729,153366,32265,0,930838,0,115611,74306,0,98403,0,19848,134881,487,24807,0,0,0,0,0,0,59177,0,64633,87582,413975,21116,0,0,57338,0,18573,590639,20127,827708,243139,0,45584,46815,34145,0,27904,106001,7315,0,15215,0,0,0,981581,0,406,0,231432,0,356978,0,0,0,0,605505,29265,75038,95176,254430,0,55776,1094170,0,0,1171958,9408089,6388,0,115421,52859,0,0,0,0,0,0,0,0,0,1174,127754,0,40448,109560,0,7368,0,0,0,124749,0,0,0,113404,0,0,0,0,148968,314515,257963,68531,108812,0,0,0,59494,270808,0,0,0,0,0,0,7289,174937,52046,231485,729318,55250,4585144,55923,211464,10636,0,5437,"Bacteroides cellulosilyticus"
"Firmicutes bacterium CAG:170",0,85027,340,123117,9014,13108,0,0,0,0,0,0,34143,791,0,0,5904450,76971,0,0,128078,0,8850,0,3052,0,188072,0,7948,397,0,0,0,0,0,0,0,0,2376,0,0,0,0,178652,0,6594,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,2352,0,2135,2301,0,17436,0,0,0,0,0,0,0,0,0,153856,0,0,595,0,0,0,69121,18807,0,723,0,0,6573,0,0,57235,0,0,0,18522,0,0,20777,0,15228,465253,0,0,1232,0,0,0,155710,0,0,0,0,12697,0,74787,5498,0,358986,187603,0,10142,0,0,43667,0,0,0,0,0,0,15056,0,0,0,0,0,747,0,6014,0,"Firmicutes bacterium CAG:170"
"Butyricimonas virosa",0,61660,0,85200,9343,23180,6437,845,0,0,0,0,0,9938,510,0,140890,13266,0,15160,11484,0,4896,1723,11592,0,4842,0,0,0,0,424,0,0,13692,0,0,0,26662,13086,5956,112,0,40459,4227,0,1051,539914,0,35787,0,0,0,920,32899,25626,45025,25274,0,0,0,0,0,0,66032,2482,0,34371,0,0,9061,0,0,106725,0,14490,22268,0,40543,63344,0,3269,0,59435,1460,0,36556,0,16138,0,0,0,0,222389,0,0,0,33683,0,9060,65079,25027,18726,0,7509,0,3974,0,141608,0,0,0,71902,39156,0,0,35622,15127,1412,10763,0,62375,0,31790,0,0,6809,55961,0,0,3343,0,0,1681,13127,47587,10099,0,1643,0,3786,0,1586,19896,0,"Butyricimonas virosa"
"Coprobacter secundus",0,55130,9071,0,0,0,0,0,0,0,0,0,0,0,1916,0,2275,0,0,0,6802,0,0,0,4359,0,0,0,0,0,0,2090,8367,0,0,0,0,0,15319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,23005,0,0,0,0,0,3160,30873,0,0,0,0,0,0,3372,0,0,0,0,0,0,0,0,9611,0,0,0,0,0,1066,0,0,0,0,0,10272,0,0,0,1080,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,"Coprobacter secundus"
"Holdemanella biformis",0,55068,0,300422,0,25495,802,0,60406,2032060,54273,81581,0,0,183469,0,0,0,0,0,0,67998,0,0,0,0,0,21028,251091,249611,0,1052408,0,0,0,0,0,0,3702,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,111602,620307,71647,0,145,0,0,0,114575,720829,28069,0,0,87957,0,0,0,0,0,0,84908,0,0,91321,0,12989,30397,10268,0,0,0,1395338,0,54003,0,0,0,0,185705,1612518,0,41614,19287,2627337,267594,919112,14277,0,0,0,336127,0,0,278213,11385,0,60846,242408,0,0,0,0,206177,0,0,69108,157472,0,0,0,0,5049,0,0,0,0,0,0,0,0,0,0,0,0,7511,0,0,766863,0,"Holdemanella biformis"
"Turicimonas muris",0,54115,18144,0,0,0,0,3851,0,0,0,0,0,0,0,2187,35399,0,910,0,0,0,0,0,0,409,0,0,0,8163,570,0,0,0,0,0,0,0,0,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3946,0,0,477,0,452,0,7815,0,0,0,0,0,0,16799,0,0,0,0,0,13590,0,0,0,0,0,0,0,499,0,0,0,0,0,0,2236,0,"Turicimonas muris"
"Firmicutes bacterium CAG:95",0,39390,0,26779,44783,0,0,0,39554,9718,0,0,5317,10869,24655,67277,0,9628,19815,10645,0,0,38775,0,0,53132,14524,0,48885,0,0,0,0,0,0,23900,0,23364,28146,0,0,0,0,15778,0,0,0,0,23720,0,0,0,0,0,0,0,7244,584969,0,0,3503,0,0,0,46306,4651,0,0,0,0,0,20042,0,0,0,53659,6584,0,0,761991,0,0,37618,0,0,0,0,34121,0,0,0,0,0,2761,0,177291,0,0,0,157275,0,0,1557,0,0,0,0,0,16171,0,0,370371,12627,0,0,0,691,88444,0,0,903,803,35363,200415,0,1376,14338,0,137169,0,0,0,0,0,0,10641,0,0,636354,0,0,109100,0,12061,0,"Firmicutes bacterium CAG:95"
"Dielma fastidiosa",0,38207,0,6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,8025,0,0,0,0,0,0,0,0,0,2719,0,0,0,0,0,108302,6921,0,0,0,0,0,0,0,0,0,0,0,1647,4241,16996,5965,0,0,0,0,0,5696,0,0,0,992,0,2097,0,0,5062,0,0,0,1135,0,32977,5996,0,0,0,17384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,1901,0,0,0,0,0,0,0,0,3218,0,0,1353,0,0,0,0,2595,0,0,2317,0,1346,0,0,0,0,0,"Dielma fastidiosa"
"Roseburia sp. CAG:182",0,33148,6573,0,0,8907,0,58123,19677,0,93972,0,59939,0,0,14538,24498,203404,0,48851,98228,0,22189,9763,0,0,41971,0,5787,6790,0,0,0,0,0,132464,0,41652,5207,0,0,0,20012,0,0,0,0,0,16580,0,0,0,8576,0,0,0,0,433999,0,0,0,0,0,0,774,0,0,0,0,1549,40523,14099,0,0,224842,0,0,0,0,0,0,0,0,0,0,0,0,0,12759,0,0,27576,0,0,0,428801,0,0,0,46309,1355,0,86015,0,0,0,0,0,290173,12292,0,38224,0,150951,0,10709,0,0,0,0,0,0,0,6963,0,0,0,0,190704,0,27399,0,0,26563,25868,0,0,28778,115603,0,0,0,0,18097,0,"Roseburia sp. CAG:182"
"Bilophila wadsworthia",0,22565,934,40337,8587,10996,0,19710,6062,222232,1232,0,36871,25578,0,6167,60207,17670,0,0,15786,85978,0,0,3229,31037,0,0,0,30390,0,0,3682,16229,0,0,0,6406,0,0,0,0,2420,7628,0,0,20068,0,0,0,7263,0,0,28241,3942,0,6262,0,0,30617,2970,0,9468,0,0,0,6722,2242,68883,0,0,51360,0,20872,8930,37326,12555,39134,43338,23838,0,0,12207,12389,195342,17369,55653,25047,9377,0,1526,0,5161,44973,3184,1885,93125,66517,0,0,1386,0,4369,0,0,15941,62894,0,14592,7033,22261,1947,24293,39571,0,0,0,2546,28012,56992,4496,0,18671,0,6087,0,52533,15809,58860,3087,19521,0,5379,2630,7900,0,0,0,0,20386,1124,0,7044,0,3840,"Bilophila wadsworthia"
"[Eubacterium] siraeum",0,20011,103514,1728537,34202,2355688,42052,2622,38449,0,0,841382,182440,0,1519299,5429683,1981744,335306,3211936,69652,262200,8686,63364,0,121032,14907,119209,0,16264,124380,12889,35852,524899,170681,3963,11195,29782,0,16135,1368,77328,1376,2923,3347,43291,1277984,0,0,10924,596779,286356,7667,378498,0,15912,47957,769058,24517,116594,0,46132,0,16221,0,326965,15670,209643,12277,33562,465,369270,41783,0,42938,0,2124004,25449,11780,0,10372,610966,330614,2748462,0,0,138143,138641,137802,55747,0,12544,1168,169145,0,12459,327482,2408287,135904,22628,92156,835809,0,4699,1579,49388,354839,742617,0,84466,41697,4246,459824,11873,905551,470,218753,1080310,73961,23805,27224,94753,71970,1902,335507,0,662521,165734,66101,177788,0,73351,0,241745,682259,870,20169,0,0,394556,0,9338,36584,51516,1103265,8078,"[Eubacterium] siraeum"
"Lactobacillus rogosae",0,18812,0,0,4825,11525,0,0,54375,0,0,7042,5793,7810,911,0,2751,0,0,622,0,29619,36384,0,42975,0,0,0,1157,2724,0,0,0,0,0,0,43514,0,0,0,3939,6665,0,22751,0,21437,0,0,5233,0,0,0,0,0,0,2443,0,22825,0,0,0,0,0,0,0,3354,0,310,2369,1085,336,0,8785,0,48254,0,0,1289,0,1654,0,36666,3488,0,0,838,94228,0,609,0,0,0,0,39153,489,0,12540,0,567,8103,0,2125,72009,916,4436,0,6128,0,22824,3799,0,0,0,0,0,0,0,15845,0,0,0,399,34418,0,0,1458,32366,0,42129,0,0,0,0,0,37832,0,0,0,41294,0,4142,0,1251,0,0,"Lactobacillus rogosae"
"Alistipes indistinctus",0,16265,0,10190,0,0,8527,2665,0,0,1277,0,5478,11856,2168,0,533410,4092,0,6873,13565,0,23276,6314,11797,0,9235,0,0,2041,0,3276,1427,0,73796,1418,0,0,10552,4338,44088,0,0,62365,0,16932,0,228629,0,4239,136082,629,0,0,38199,12564,42015,0,0,0,0,0,0,0,0,781,13712,7901,0,0,13577,34140,0,0,0,737,38766,0,0,49865,0,0,0,101899,2603,0,30147,0,39416,0,0,0,0,1726,0,0,41077,26356,0,27138,45651,427,3632,286,16235,0,37124,117703,31208,0,0,4066,66220,9035,0,0,0,52718,13634,0,10175,0,82743,1134,0,117947,3457,12813,1576,0,13769,0,0,5266,2246,1114,0,0,105032,0,327,156,1778,13729,22355,"Alistipes indistinctus"
"Clostridium sp. CAG:167",0,8658,141851,8785,0,0,26481,125132,37479,765809,0,6520,77889,0,0,499954,26377,6334,18143,67298,0,0,14648,0,83153,0,0,0,18566,0,0,0,9501,0,0,10819,21303,20929,33603,0,0,0,10849,462487,0,0,0,0,0,9678,336,0,29741,0,0,7397,75838,85867,0,0,0,0,677,0,0,4311,16328,0,0,0,0,72041,0,0,88603,0,0,0,0,137609,0,0,151650,0,0,0,8709,37225,7694,0,34800,0,0,839923,0,0,0,0,0,10835,97645,0,0,0,0,0,404341,0,45900,0,0,7147,0,66104,0,0,0,94180,0,0,0,0,22718,1759,0,35337,0,34410,6791,0,0,0,0,38328,0,276064,25648,0,18212,11565,0,0,6135,0,0,"Clostridium sp. CAG:167"
"Haemophilus pittmaniae",0,8383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Haemophilus pittmaniae"
"Lactobacillus acidophilus",0,5855,102084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24072,0,0,0,0,0,294862,0,0,64386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19749,38350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lactobacillus acidophilus"
"Intestinimonas butyriciproducens",0,743,0,4386,0,4748,0,0,1997,879,4308,0,6809,30800,0,5313,25577,0,0,0,9903,0,0,0,0,11299,5503,4591,3388,0,2567,0,0,0,32600,0,0,0,0,0,160645,25136,0,0,1921,0,20364,105441,2497,16986,47105,0,0,10421,0,1173,16517,5241,0,1272,0,0,0,0,0,0,459,0,0,0,6974,0,11345,8204,10753,0,23435,16308,36677,8178,39935,347,12209,30911,38651,0,0,717,1205,0,0,1833,0,615,0,0,1092,3675,0,1478,2431,16329,1227,75,0,0,14274,30011,0,0,0,0,4624,0,0,79616,0,0,0,1578,0,0,10503,0,4081,5512,7496,0,0,0,0,0,0,0,0,0,0,304796,3666,18282,0,263,2581,0,0,"Intestinimonas butyriciproducens"
"Leuconostoc mesenteroides",0,377,0,0,0,0,0,0,0,21775,0,3587,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,8367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6723,0,0,0,0,0,65186,0,0,213834,0,0,0,28789,0,0,0,56460,0,0,0,0,0,14246,0,0,0,0,9520,0,0,0,0,20125,51336,25273,0,33235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17712,0,0,0,0,3436,43801,0,5237,0,0,0,0,26777,0,0,0,0,0,9684,0,0,0,0,0,0,0,51228,0,0,0,0,17215,0,0,0,11917,0,0,0,0,0,9180,1294,0,0,0,0,0,0,0,"Leuconostoc mesenteroides"
"Bacteroides eggerthii",0,0,856452,0,0,0,200230,0,0,0,0,0,0,0,0,21671,0,0,0,0,0,0,0,0,0,0,29196,0,0,0,0,0,54817,0,56752,0,0,0,39122,5092,614903,3630722,1805,0,0,0,0,0,0,0,0,0,2180,0,0,0,0,365810,0,0,0,0,0,0,0,0,267317,0,0,0,0,0,0,0,287379,257604,0,0,0,0,0,1920478,0,0,0,0,0,617783,134588,0,791,0,221632,0,0,0,0,0,56927,0,0,0,0,0,0,0,0,68191,0,12235,0,0,2330163,22554,0,0,0,0,0,0,104795,0,0,0,321295,375328,1574163,0,0,0,0,0,0,0,0,0,297240,0,66255,0,0,0,0,14485,0,"Bacteroides eggerthii"
"Ligilactobacillus ruminis",0,0,412377,0,0,0,0,0,452698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8333,0,0,0,0,0,0,0,0,0,0,6774,0,0,127391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596597,0,0,0,0,0,0,0,0,1831702,0,0,0,71831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ligilactobacillus ruminis"
"Butyrivibrio crossotus",0,0,331010,0,7240012,0,170418,0,0,0,0,196928,0,0,0,2874700,828239,8404290,0,0,183862,0,1488396,0,2471875,0,0,0,307603,0,0,0,0,0,0,0,0,0,291305,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43262,0,0,0,4037834,0,0,0,0,0,0,0,0,0,0,11854,0,0,0,0,0,0,2585001,0,196819,0,0,6257092,0,126157,392198,0,0,0,0,0,0,0,6402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2894157,0,0,0,0,667958,0,0,388252,0,0,2228907,0,0,0,0,221042,0,0,0,0,0,0,0,892195,0,4896932,0,"Butyrivibrio crossotus"
"Eubacterium sp. CAG:251",0,0,261754,0,0,0,51663,505632,0,0,0,815915,0,0,0,0,0,0,0,832371,1644922,569003,0,0,0,0,320,0,0,0,549479,0,0,0,0,0,348017,0,0,0,0,0,0,0,0,0,468490,10147348,143009,0,0,0,0,0,0,0,0,0,0,0,0,361550,255564,2183221,0,534120,140639,1298918,0,0,0,0,445629,797,2352650,0,0,0,0,436382,0,0,0,0,0,547747,0,1078245,0,0,29679,0,0,0,0,0,0,0,0,0,0,0,0,0,111838,0,0,680613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130723,0,0,0,0,0,0,0,0,0,0,"Eubacterium sp. CAG:251"
"Catenibacterium mitsuokai",0,0,124414,0,0,0,21517,0,0,0,0,0,0,0,0,0,471482,0,0,0,0,0,0,0,0,0,0,0,293401,81831,0,64448,8054,0,0,70003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149729,0,13514,0,417377,1143,0,291165,0,0,426651,0,126718,1361,0,0,0,0,0,0,0,0,0,0,80471,861416,0,0,0,0,0,0,0,0,0,0,0,0,15924,0,445647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833754,0,"Catenibacterium mitsuokai"
"Ruminococcus callidus",0,0,100621,0,1252,0,0,0,0,80470,0,0,0,0,0,0,22709,13240,0,0,93975,0,0,0,9277,0,0,0,0,0,0,14812,389,25128,0,0,0,0,0,0,0,0,0,0,0,27032,0,0,9396,0,0,0,0,19259,0,0,0,0,17520,0,0,0,0,0,0,0,6583,12065,0,0,0,0,10189,0,768,254310,0,0,0,0,0,0,0,0,2170,1455,1543,0,0,1675,9606,0,0,0,0,23481,0,0,0,0,44881,0,0,577,0,0,0,0,0,31534,0,0,236764,203466,0,0,0,0,0,0,0,0,414,0,15005,0,0,0,916,495,0,0,0,0,0,0,0,0,24111,0,0,0,0,0,0,"Ruminococcus callidus"
"Bacteroides faecis",0,0,96839,13977,0,22790,0,0,0,0,0,0,164341,0,0,18296,0,0,0,0,0,0,99805,0,0,0,0,0,0,0,0,0,0,0,0,12184,0,0,107781,0,0,0,0,0,0,0,0,0,263260,0,0,0,0,0,0,31685,0,51552,0,0,0,0,0,0,0,0,0,0,0,14167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17539,0,0,0,0,55221,0,0,0,0,0,0,0,82468,0,50033,0,0,0,0,0,0,33330,0,0,213073,0,0,0,0,0,0,0,0,0,0,24432,0,0,0,0,0,0,0,0,0,0,120493,0,184714,0,0,0,0,0,0,0,0,"Bacteroides faecis"
"Desulfovibrio piger",0,0,55126,135211,67127,81152,0,0,0,0,0,203140,0,0,0,0,0,0,0,0,110303,0,38261,0,2933,0,0,0,104478,0,0,23367,0,0,0,0,0,0,101852,0,146666,0,0,107828,0,0,231847,0,0,130786,69247,0,0,0,0,0,0,0,0,0,0,0,0,0,7993,0,22034,0,0,15912,39845,0,0,0,0,210360,0,0,417422,388144,0,0,0,0,0,0,200739,0,0,29142,25429,0,21411,208722,0,24510,0,0,0,0,0,306838,0,61228,0,0,0,121545,0,0,0,0,0,0,0,0,266143,0,79602,0,0,0,0,270325,0,0,0,0,0,0,0,0,0,48827,18360,21037,0,0,14839,0,15964,0,0,85220,0,"Desulfovibrio piger"
"Roseburia sp. CAG:309",0,0,39840,1166,33043,12623,6461,15722,0,0,4388,0,0,0,0,0,31932,44216,0,2156,1132,0,8025,10985,11829,142384,2468,297867,0,0,0,0,18750,0,0,0,0,0,344,1523,0,0,1162,0,0,0,0,0,34276,0,0,1127,3088,0,0,0,860,0,66275,0,3143,0,10307,0,11558,32497,2511,0,0,11644,1047,18505,0,0,3213,58348,16348,0,0,0,0,0,1194,0,202,17223,1275,123931,0,0,0,0,0,27222,7116,8260,0,0,10292,91200,3004,0,0,0,10718,0,165648,0,36606,0,0,98317,0,6342,0,2409,0,15250,0,0,9105,613,18101,5964,0,13958,78956,32941,8083,0,0,0,0,3052,0,24328,35416,1139,13431,0,0,0,9938,37012,1367,"Roseburia sp. CAG:309"
"Lactobacillus delbrueckii",0,0,24521,0,0,0,0,1921,0,0,0,0,0,0,0,0,36228,0,88022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3670,0,0,0,0,0,0,0,0,13339,0,0,0,0,108951,49812,0,0,0,0,17803,0,2876,0,0,0,1079,0,12447,44018,0,0,0,0,0,0,0,0,30138,0,0,19772,0,0,0,40377,0,0,0,0,39165,0,12373,0,0,0,267,0,1350,0,0,0,0,0,0,1042,0,0,0,64763,0,0,0,2339,0,0,0,0,0,0,0,0,0,0,0,0,3205,0,4759,0,0,0,0,0,0,0,0,11406,0,"Lactobacillus delbrueckii"
"Eubacterium sp. CAG:274",0,0,8483,0,0,472741,0,0,27628,0,1956,0,0,0,106695,198383,132564,0,0,0,0,0,0,0,47136,188689,5263,0,0,0,130871,0,0,0,0,0,0,51371,0,0,0,69362,0,0,0,0,0,0,0,0,11098,0,0,0,0,0,0,0,272748,512126,0,74227,0,0,0,0,0,69924,0,7141,0,0,0,0,0,0,0,0,0,0,0,66238,0,22649,0,0,203050,0,0,0,44700,138323,0,0,127369,0,0,0,0,0,0,0,0,532201,0,0,0,0,0,0,0,0,638065,0,0,169285,0,371592,0,0,0,2275,3624,0,0,0,0,4033,205160,85617,0,84607,0,48331,19019,95302,0,315460,0,0,0,0,0,0,0,"Eubacterium sp. CAG:274"
"Streptococcus sobrinus",0,0,2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126,0,0,0,0,0,3326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus sobrinus"
"Sharpea azabuensis",0,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,382,0,2371,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,6867,0,0,2961,0,516,0,0,0,1183,0,0,0,0,0,0,0,1452,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,2569,0,"Sharpea azabuensis"
"Streptococcus oralis",0,0,944,0,0,0,0,0,0,0,0,0,0,0,0,3316,0,0,0,0,0,824,0,0,0,10703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3392,0,0,43100,0,0,0,0,4531,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,23345,0,0,0,0,0,1130,0,0,0,16335,0,0,0,12410,0,0,0,21300,0,0,0,0,0,0,0,0,0,0,2870,0,0,0,0,0,0,0,10036,0,27310,0,0,0,0,0,0,0,0,0,0,2275,0,0,0,30805,0,0,0,0,0,0,0,0,0,0,0,3811,0,0,849,"Streptococcus oralis"
"Parvimonas sp. KA00067",0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parvimonas sp. KA00067"
