"","SZAXPI003409-8","SZAXPI003410-3","SZAXPI003411-6","SZAXPI003412-1","SZAXPI003413-4","SZAXPI003414-3","SZAXPI003415-12","SZAXPI003416-4","SZAXPI003417-4","SZAXPI003418-8","SZAXPI003419-6","SZAXPI003420-4","SZAXPI003421-5","SZAXPI003422-11","SZAXPI003423-8","SZAXPI003424-12","SZAXPI003425-1","SZAXPI003426-11","SZAXPI003427-1","SZAXPI003428-6","SZAXPI003429-3","SZAXPI003430-5","SZAXPI003431-1","SZAXPI003432-12","SZAXPI003433-7","SZAXPI003434-7","SZAXPI003435-11","SZAXPI003436-7","SZAXPI003437-3","SZAXPI015209-133","SZAXPI015210-17","SZAXPI015211-166","SZAXPI015212-113","SZAXPI015213-15","SZAXPI015214-19","SZAXPI015215-20","SZAXPI015216-169","SZAXPI015217-140","SZAXPI015218-16","SZAXPI015219-129","SZAXPI015220-136","SZAXPI015221-142","SZAXPI015222-123","SZAXPI015223-158","SZAXPI015224-13","SZAXPI015225-18","SZAXPI015226-14","SZAXPI015227-13","SZAXPI015228-14","SZAXPI015229-15","SZAXPI015230-16","SZAXPI015231-17","SZAXPI015232-18","SZAXPI015233-19","SZAXPI015234-20","SZAXPI015235-21","SZAXPI015237-23","SZAXPI015238-24","SZAXPI015239-25","SZAXPI015240-26","SZAXPI015241-27","SZAXPI015242-30","SZAXPI015243-31","SZAXPI015244-32","SZAXPI015245-33","SZAXPI015246-34","SZAXPI015247-35","SZAXPI015248-36","SZAXPI015249-37","SZAXPI015250-39","SZAXPI015251-41","SZAXPI015252-43","SZAXPI015253-44","SZAXPI015254-45","SZAXPI015255-46","SZAXPI015256-47","SZAXPI015257-56","SZAXPI015258-57","SZAXPI015259-62","SZAXPI015260-74","SZAXPI015261-75","SZAXPI015262-79","SZAXPI015263-84","SZAXPI015264-87","SZAXPI015265-88","SZAXPI015266-89","SZAXPI015267-102","SZAXPI015268-109","SZAXPI015269-94","SZAXPI015270-90","SZAXPI015271-93","SZAXPI015272-108","SZAXPI015273-95","SZAXPI015274-111","SZAXPI017451-16","SZAXPI017452-17","SZAXPI017453-19","SZAXPI017454-20","SZAXPI017455-21","SZAXPI017456-23","SZAXPI017457-24","SZAXPI017458-25","SZAXPI017459-26","SZAXPI017460-27","SZAXPI017461-32","SZAXPI017462-33","SZAXPI017463-36","SZAXPI017464-37","SZAXPI017465-43","SZAXPI017466-84","SZAXPI017467-87","SZAXPI017468-88","SZAXPI017580-90","SZAXPI017581-93","SZAXPI017582-94","SZAXPI017583-102","SZAXPI017584-108","SZAXPI017585-109","SZAXPI017586-111","SZAXPI017587-113","SZAXPI017588-123","SZAXPI017589-133","SZAXPI017590-136","SZAXPI017591-140","SZAXPI017592-142","SZAXPI017593-158","SZAXPI017594-166","SZAXPI017595-169","FeatureID"
"Anaeromassilibacillus sp. An250",3499,0,128530,18095,13744,0,86253,0,0,3338,0,0,12099,0,0,169189,2009,0,0,0,0,0,0,1806,0,0,53991,236677,0,4527,0,8418,0,0,0,0,86286,41139,39438,0,0,80546,0,47515,246,241869,10028,71409,0,0,0,0,0,3690,160755,445,0,0,0,25921,22855,0,22040,44073,1148,12247,583,79,0,16791,20852,813,152091,0,0,0,0,1082,0,0,0,7059,0,27857,0,3357,2964,27782,0,0,65294,0,0,19997,0,0,0,21396,41355,159167,2399,0,0,13470,0,10640,0,1883,607,32180,0,0,2477,1061,0,0,9737,0,0,0,0,0,0,0,60183,0,0,0,"Anaeromassilibacillus sp. An250"
"Parabacteroides gordonii",3499,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,3117,0,0,0,0,0,0,0,0,1432,0,0,0,1768,0,0,0,0,4008,222,12199,0,0,787,0,0,0,10485,1748,0,0,0,0,0,0,0,0,0,61119,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,86584,0,0,0,5408,0,0,3089,0,0,1588,0,0,0,3085,0,0,0,0,0,0,0,0,59854,2857,0,43527,0,0,0,0,70,0,0,0,1437537,0,0,0,92,0,40659,13742,359,170,0,0,0,0,0,0,0,0,0,0,"Parabacteroides gordonii"
"Adlercreutzia caecimuris",3408,1691,1730,6379,438,6940,5240,445,0,0,0,1832,324,1841,80,7787,7599,0,119,0,0,0,561,476,2043,4324,4837,5239,3610,0,0,1180,1001,0,0,0,2148,1608,0,0,0,0,1293,2259,0,828,0,3693,0,0,6224,0,0,3207,7448,0,0,0,0,0,1676,222,703,0,0,1853,0,1380,1983,3533,3046,58,3529,1148,554,0,1831,77,0,1021,0,1735,329,280,0,861,883,0,0,0,1361,0,0,830,0,16902,7724,501,564,2223,740,362,0,533,0,138,257,0,3332,6445,0,0,208,1313,0,0,0,0,0,0,497,0,1813,3189,10288,0,1958,836,"Adlercreutzia caecimuris"
"Roseburia sp. CAG:182",3408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197949,0,0,0,0,0,0,0,31727,26167,0,0,0,0,0,0,0,0,0,0,27761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Roseburia sp. CAG:182"
"Bifidobacterium longum",3195,39773,2252502,452434,684704,24342,0,0,1812,0,669284,0,106134,683213,388769,3449817,55753,29139,440255,0,2145111,3006256,0,345298,445364,0,775231,631970,419353,59955,86893,2314697,1928371,132204,25945,1350,0,28614,569130,0,38336,123875,1937,698760,590472,760818,18131,10326,866896,135238,246952,40914,303971,1305748,1491406,42970,247525,250798,1002349,0,111841,941375,278456,192877,22253,499696,12449,262854,4229419,1101115,311351,452263,270890,289678,3060,0,1356448,262820,1017308,1391198,80835,664738,104580,0,0,83528,0,115745,61111,0,84625,63070,175169,34283,8604,2358630,0,51714,1148110,457274,0,206535,4896769,0,101000,26950,703870,0,4052817,1507268,10890,5887,164,658,339401,111848,7458,0,0,519520,317806,219424,871946,0,312916,194210,35644,2250196,"Bifidobacterium longum"
"Phocaeicola dorei",2825,3937740,0,13528,18544,21491747,18125,7611,1959,30613,1566,16352,1306161,162305,14780,0,12612043,0,617,5229,3628111,12626,6657899,9729,0,6149,45140,334201,12628,121731,35751,639151,0,0,0,124378,233,0,284507,3538623,118326,0,102993,10893,0,0,0,44316,0,0,0,1613,0,0,0,0,0,0,1124491,0,0,0,0,0,0,0,16539,159940,604293,23642,767636,0,0,0,0,0,0,0,111314,143423,1249,0,0,0,3554283,6655755,0,148347,1874641,880,0,407,0,0,18758,5943029,0,547518,0,0,19235,2875040,0,1458777,148393,0,0,0,0,0,149039,0,0,0,0,0,0,0,0,0,2549860,1690011,1200,142599,578,2112456,342316,0,"Phocaeicola dorei"
"[Eubacterium] sulci",2691,0,0,10355,0,0,2011,0,0,0,0,0,0,3263,0,3396,0,0,0,0,0,0,0,0,0,0,0,0,24427,0,4770,0,0,0,9908,0,0,0,0,4518,0,787,0,0,3290,0,0,0,2000,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,0,0,2902,0,0,0,0,0,0,0,0,0,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,2967,0,9865,0,2928,5004,"[Eubacterium] sulci"
"Intestinimonas butyriciproducens",2606,34726,0,0,737341,16423,0,0,1855,7106,0,0,1286,6991,0,3964,67466,0,0,0,0,0,0,0,4513,13831,0,1491512,0,0,0,3875,0,15499,0,18212,441942,5082,0,0,0,0,18896,5763,3460,0,313770,4188,0,0,103,0,0,0,12631,0,0,0,0,0,0,0,18813,0,611,7656,34044,0,0,0,26847,0,0,14728,0,6127,413,0,0,0,35197,36305,0,4185,21668,0,28346,32801,13769,3202,42315,2704,0,0,0,42239,9169,5332,0,0,93467,0,0,545955,0,11306,217771,2584,10371,0,6941,0,4703,94171,0,6986,6452,139305,2149,0,0,0,0,0,0,10921,11864,0,"Intestinimonas butyriciproducens"
"Eubacterium limosum",2163,0,0,7606,0,0,0,7780,0,0,0,1680,0,3200,0,40333,0,0,406,0,0,0,0,0,0,0,0,1766,0,0,0,5451,0,0,0,0,0,0,0,0,0,9007,0,4649,0,16940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,420,0,0,15165,0,0,0,0,0,0,0,0,0,0,0,0,0,1954,0,0,0,0,0,0,0,0,0,0,3181,0,1290,1591,0,0,0,0,0,0,0,0,7338,0,0,0,86739,0,0,0,9458,0,9760,0,0,0,0,0,2058,0,96530,"Eubacterium limosum"
"Proteus hauseri",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Proteus hauseri"
"Megamonas hypermegale",1920,3943,30895,0,0,0,0,0,61896,0,0,86062,359026,1170271,0,0,0,0,163963,0,793901,0,385448,2459,180741,0,0,516421,0,496639,7692,0,2384475,0,0,599955,0,0,80802,0,19896,123354,889162,0,0,0,134750,0,0,74988,0,0,0,0,0,233165,0,0,0,0,0,97955,0,0,0,0,0,474184,1537,0,0,27257,0,0,0,1969755,0,0,859885,5992,77752,0,0,0,0,60985,0,0,1259,0,0,72672,392814,0,0,0,0,0,0,0,0,0,33449,0,692072,0,0,147066,0,135146,0,0,29871,15235,0,0,0,0,106539,1126494,14946,0,75411,0,0,31246,0,0,"Megamonas hypermegale"
"Phocaeicola coprocola",1604,0,0,4517,0,0,0,0,0,0,0,694119,1269136,539260,0,0,0,0,0,0,0,0,0,0,643530,0,0,0,0,0,0,0,0,0,0,177549,72990,0,235648,0,0,0,0,6501,85912,0,107556,51603,7874,0,0,471950,0,0,183809,0,0,0,0,1375870,0,1866791,0,0,121174,0,1398903,0,0,0,0,366339,0,0,0,1798410,0,0,1752167,0,104988,0,72822,0,0,3862736,0,1123120,0,0,0,0,262238,0,0,0,65652,0,0,0,2096325,1889,0,0,0,0,1649440,0,0,415450,186333,0,1629970,27114,0,0,0,0,1172092,2598,0,0,0,268203,0,71693,164712,0,"Phocaeicola coprocola"
"Faecalitalea cylindroides",1561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292584,0,14135,2471,0,0,0,0,0,0,14350,0,0,0,0,0,2884,9068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21210,0,0,0,0,0,0,0,0,0,0,0,0,0,154,322249,0,0,0,0,0,0,0,764,0,0,0,0,0,0,0,38652,0,0,0,0,0,0,1206,0,0,0,0,0,7156,1388135,0,6467,0,0,0,0,1305,0,0,0,0,0,0,0,"Faecalitalea cylindroides"
"Enorma massiliensis",1276,9350,8448,3664,593,0,419386,0,165,0,500,800,0,4789,3142,2635,0,0,1239,0,1112,741,1848,1076,140454,0,2632,2369,6115,0,6682,5183,355,0,2598,722,5898,0,19995,0,0,835,202,3936,3430,4385,0,3911,1479,0,233,0,0,1002,982,0,747,172,0,5308,0,565,3415,738,0,0,0,648,34045,2677,34753,1518,0,0,396,0,1445,2650,945,7055,0,0,0,0,8100,0,0,0,1724,0,0,0,904,6535,0,547,282,25072,5642,233,5034,1761,1885,611446,0,0,1045,0,0,3685,492,0,0,3432,0,414,18056,0,0,283,0,755,3192,0,21864,1456,2022,5517,"Enorma massiliensis"
"Bacteroides nordii",1227,0,0,89,0,0,418,0,19103,0,0,0,2331,38546,0,0,0,2467,0,0,10010,0,790,0,5052,4294,0,0,0,580,0,0,0,3702,86309,123,2747,422,0,0,0,0,730,576,0,276,2215,0,4367,0,0,2705,0,0,970,0,36480,2190,0,2209,1502,1425,0,2502,716,0,300,0,0,0,11093,0,0,1658,305,33029,7931,3446,94,1901,19017,979,0,9805,4878,0,0,22251,0,14466,16388,0,1353,0,0,22992,3925,0,0,0,0,1694,0,339,18332,0,765,72899,8312,0,0,0,0,0,23395,0,8908,7834,0,0,0,0,0,0,0,14832,0,557,"Bacteroides nordii"
"Bifidobacterium pseudocatenulatum",1227,275030,1311197,1098377,970988,2386,6457707,12460191,3643,4328,1823675,75994,370254,130882,10055,3256946,2835,36428,608455,6044,1164949,6183149,513606,5747,1305185,13905488,215135,931,2193260,82488,630231,0,0,233940,37705,0,0,0,626742,0,6947,570206,734402,110711,2837450,595171,26825,428928,0,0,202862,284054,0,1031962,772999,0,0,0,1557404,0,238385,109173,0,7195,58987,1163409,80752,819144,4951821,230104,1192292,97766,725150,268169,0,0,2327785,687576,1921845,1543158,43183,506000,2543,0,0,28586,0,183293,0,17851,0,102287,490088,26754,0,0,0,18363,2465136,1114476,0,96514,0,1153535,550579,166997,188916,0,1130963,0,662,0,8064,3630098,0,0,2962,0,1186,425300,947281,308676,285479,0,0,0,0,0,"Bifidobacterium pseudocatenulatum"
"Sharpea azabuensis",1142,0,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sharpea azabuensis"
"Gemella haemolysans",1130,698,3203,0,0,0,0,1808,0,5489,0,51300,0,27414,0,1534,1562,1072,0,0,0,0,853,0,3862,0,8070,0,6012,0,2729,0,5567,0,17362,913,0,0,5140,1313,0,0,0,0,14202,0,0,0,1247,0,0,0,0,483,1899,0,532,0,13202,0,0,0,0,1242,0,0,0,973,0,561,0,0,2624,0,0,0,1434,3724,0,1435,0,0,0,0,0,0,0,0,0,0,0,0,3040,0,0,2579,2865,7443,2383,0,0,1293,0,0,1110,0,0,0,0,0,0,0,0,1080,0,0,0,0,114609,0,4523,0,12972,0,0,0,0,583,"Gemella haemolysans"
"Streptococcus parasanguinis",1100,34461,41851,16678,0,2985,64805,0,0,834806,126243,15314,5821,15565,68403,0,10734,0,10856,0,264073,5342,0,553,32956,253488,440,0,604340,1646,172361,30155,714345,18247,172169,8643,58060,14641,0,136262,242048,6885,16902,44187,16584,0,50378,0,126075,34401,17276,37715,64216,10163,0,147933,0,48534,24030,20734,0,528,26918,5185,0,6178,61466,2237,11754,0,12682,85507,52214,0,10045,0,14808,1936865,676712,1202965,0,2869,0,1173,0,36212,60554,39815,16884,0,20455,0,3738396,0,13464,34833,15714,2595952,374637,148033,0,50918,94309,18333,171125,10709,4945,0,5605,5241,18089,0,1255,72599,0,3803,807,65490,41749,4204,62960,11066,2605,1255,123714,887,43610,159876,"Streptococcus parasanguinis"
"Roseburia faecis",1033,0,312503,0,15149,56145,95696,0,1145,429034,342534,0,1028524,0,0,2149795,203955,32945,0,0,1220872,33277,1197700,18917,1246710,0,901962,646588,0,26056,790661,747610,4040627,0,0,878646,1438605,87902,2876496,518,2126866,183984,2726118,5515831,8668978,315494,1739283,1019911,28263,371324,1237812,3032,2183,6768,22729,5354585,0,2949123,1787,997671,1061404,5673354,141467,273007,4142282,4432376,3082546,1608930,3215454,1831219,741066,610129,638799,0,5343381,0,7665,23228300,569716,75056,0,4341802,470133,94808,9773890,333073,347890,2174696,433760,252716,500269,0,49787,2929814,0,341788,73193,221180,205767,496511,7520652,9596025,2736870,135324,561136,175037,160396,647358,11022,76135,389373,319612,428023,414551,0,0,51126,0,1469911,2763,9615,10473,557541,0,488717,881255,2378756,260,"Roseburia faecis"
"Denitrobacterium detoxificans",948,0,2539,686,0,0,0,0,0,0,0,0,0,327,0,1540,0,0,0,0,0,0,0,0,0,645,0,0,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,737,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,678,0,523,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,0,0,405,"Denitrobacterium detoxificans"
"Eubacterium sp. CAG:38",765,7347,20267,0,0,0,0,7688010,0,0,0,13534,47687,4634,6581,53096,0,0,0,9998,0,0,17379,5253,22527,0,0,12178,0,457870,5973,0,57529,0,9944,117991,18289,18474,30931,0,205298,136700,2009,0,4496215,2393,1662424,67346,2066485,0,180260,0,1670888,0,117882,0,0,0,0,95017,0,236716,55978,55117,348,911377,1089647,162089,582216,0,0,0,0,410176,221496,360527,0,1901,2666986,146210,73891,0,0,35853,131656,237865,256667,560683,218434,30096,140583,73609,0,0,0,61063,0,0,0,5601,0,0,0,18648,0,41533,4076,169393,0,3245,54684,29461,0,18803,0,1620505,9347,9661,421856,2337726,0,0,0,0,0,0,454863,0,"Eubacterium sp. CAG:38"
"Ruminococcus callidus",650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154143,0,0,0,0,15636,0,0,106,0,0,21333,1321,0,0,0,0,0,0,25137,0,0,0,0,0,0,4091,0,0,0,0,205848,3094,0,0,46559,0,0,0,8580,0,0,0,0,0,9342,0,9121,33618,0,348,0,0,0,0,88126,2320,0,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,2066,0,0,0,0,0,0,0,0,0,2276,2557,1961,131505,0,203450,0,0,"Ruminococcus callidus"
"Eisenbergiella tayi",522,0,34050,14141,4588,0,0,0,0,0,0,0,40713,546744,1829,680795,0,25533,7874,0,0,0,0,0,0,423146,3016,69839,0,0,6675,0,0,1433,0,0,21905,0,4306,0,0,16001,0,1664,0,14936,5256,7333,0,0,10189,0,0,0,26515,3381,0,0,0,20226,0,0,171,3223,0,0,18576,0,0,2699,3200,0,31050,0,0,1976,41931,0,1073,0,0,3309,0,0,0,0,0,0,6205,0,0,0,0,0,0,0,127615,59254,0,0,273,0,0,0,0,0,59015,3420,21574,0,0,0,88169,0,0,2241,3073,30592,0,0,0,2191,0,0,0,3402,3463,0,"Eisenbergiella tayi"
"Bacteroides sp. D2",462,0,0,0,0,0,0,0,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,0,0,200,0,0,0,0,0,0,0,0,0,9720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43789,0,0,0,0,0,0,0,0,0,14817,0,0,0,0,0,0,0,905,446734,0,0,0,0,0,0,0,1727,0,0,"Bacteroides sp. D2"
"Cardiobacterium hominis",352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cardiobacterium hominis"
"[Eubacterium] yurii",340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[Eubacterium] yurii"
"Clostridium perfringens",261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16511,0,0,0,126085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679538,0,0,0,0,0,0,0,0,10122,0,0,1481,0,0,0,0,0,0,0,0,0,0,0,0,145745,0,0,0,0,0,15499,0,0,0,0,0,0,0,0,0,1007,"Clostridium perfringens"
"Parabacteroides acidifaciens",213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12298,0,0,0,0,3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12708,0,0,0,0,0,0,0,0,0,0,1194,0,0,0,6954,0,0,36239,0,0,0,0,0,15895,0,0,0,0,0,0,0,0,0,0,3414,0,0,0,0,0,0,0,199743,0,0,0,0,0,0,0,34926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parabacteroides acidifaciens"
"Eubacterium sp. OM08-24",0,4448434,75782,0,0,0,0,1400,0,0,0,0,0,0,2654,0,0,0,0,0,0,0,1716,2553,0,0,0,0,0,0,0,0,8176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77297,0,0,0,0,19962,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685389,311843,0,0,0,0,0,0,0,0,56404,0,0,0,38836,10755053,0,1753063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eubacterium sp. OM08-24"
"[Ruminococcus] gnavus",0,342224,15375,357505,38165,0,179720,2439177,134790,304214,3933,0,14418,407776,951341,3294791,9297,525668,1142711,4152,139537,17252,301553,254617,30807,2941831,108013,615,7418394,56969,526143,137170,222954,0,1282006,0,15340,1266,0,17788670,0,159805,76654,2935,0,2453,670,25349,2812039,38049,10182,3018,2486536,131563,1130,0,1863879,0,36715,105385,199178,0,24639,0,0,361010,306347,59323,0,163773,0,26157,0,1200824,0,4558938,4105104,2936,1960072,7079,23450,3291,0,0,7845,684,142236,58324,3644,11378,0,40680,8506,511590,5070825,409273,3585,1041086,4555506,4187595,503,20912,852714,25680,277691,0,677256,80691,10078,0,2058,0,282320,0,1690115,258202,20149,119120,0,3665880,25766,454870,800795,0,126163,0,4827,1951694,"[Ruminococcus] gnavus"
"Flavonifractor plautii",0,229976,3389,9792,8551,20601,295203,1019715,118595,63194,2135090,29854,5118,2410603,320153,174569,154811,24348,83145,81495,136787,2727,51922,19841,150244,1713148,44862,224487,215783,675893,10120,927695,55902,63366,193533,98538,389792,16352,26441,90903,28494,6118,56435,148196,9191,9406,59607,51741,153775,0,62104,100651,2211493,1021330,131743,8151,1444812,5778,0,254126,57936,8763,62432,26929,27501,535259,82034,21082,9703,53924,79146,0,21146,1344999,0,150020,905032,26764,230237,593571,40477,96496,0,18070,86664,40424,41365,31042,26852,12536,48905,41281,362085,368304,14657,4464041,91751,475501,786135,63123,225716,27972,527640,221577,491582,26149,626394,133193,53904,7221,2096,0,117402,5633,729709,131429,37220,281104,41462,785459,139139,1153274,61923,2701,19895,161660,30465,29345,"Flavonifractor plautii"
"Fusobacterium nucleatum",0,211757,0,15167,0,0,0,10050,0,0,0,0,0,48846,5021,0,0,0,0,0,0,0,44889,0,0,0,124489,0,0,0,0,1524,0,0,0,0,2423,17190,0,0,0,1444,0,0,0,0,203415,0,0,0,0,0,0,0,0,0,49163,0,0,351,0,0,0,0,0,0,0,0,0,40438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5465,0,0,0,0,0,0,0,0,11362,0,0,4427,0,121723,0,4309,0,0,11477,869,0,0,0,0,57845,12082,0,0,0,0,0,17342,"Fusobacterium nucleatum"
"Phascolarctobacterium faecium",0,209892,467,695248,953919,22466,229385,429362,0,985530,0,5391,181432,736332,636981,28905,778757,0,235483,283,94941,7963973,249627,34682,434570,63953,929,2088,67535,360592,6173,23778,198945,3433164,0,182866,458364,0,1213904,154524,0,77918,3403717,76104,20834,57903,1040488,73463,1680062,13993,35380,217879,0,0,115900,1042287,1372646,0,613834,2427,40825,1895,381427,1500,0,0,0,764443,0,556,9640,13220,21312,567962,299263,1576528,2238,11180,164543,28132,103399,441390,19482,0,314401,0,0,1025493,31949,245256,1117442,3774,16836,0,0,57265,368826,0,0,3886,23375,0,0,559207,1129904,212519,304767,157592,0,143983,202747,0,5824,6747,676456,270,8075,598553,2290887,1014928,1545,372000,664,906,0,0,25350,2382190,"Phascolarctobacterium faecium"
"Eggerthella lenta",0,199289,49024,338825,7249,395190,38305,143311,6809,25997,62060,0,0,123518,176329,663465,666803,56437,82441,0,17635,0,27496,9812,105005,606788,192038,104350,414002,1958,15978,210080,359981,22285,7794,0,43804,0,20167,27549,0,47387,42901,36297,0,59804,735,469,33447,4381,0,36686,80252,174579,21842,0,164009,77787,29639,62536,25880,0,14593,0,0,452737,52281,12194,14761,167566,46951,0,38152,40637,1725,10347,419850,0,45453,52084,0,5974,0,26696,54809,0,99000,0,0,0,0,0,3737,0,8170,50680,205119,152116,45194,64869,164902,128643,115244,158290,834,3645,51361,46243,641852,0,1739,0,66246,33662,74186,0,0,17253,43990,83191,67155,3480,37991,4321,53220,0,24198,271887,"Eggerthella lenta"
"Eubacterium ventriosum",0,157666,0,6401,20445,0,0,0,73463,16382,286493,4240,0,32834,0,0,0,59396,87599,0,1090826,0,0,75757,0,0,56766,163461,0,0,57315,0,0,0,18715,519949,0,5145,73418,0,125,1038931,38507,199172,12586,5848,110569,408864,190,0,923388,0,2366923,2085820,335749,0,0,210589,0,443017,227366,264441,12839,695751,213977,74252,262142,165081,0,54757,17740,394444,325846,0,32093,0,0,86442,879793,0,154317,2194,238742,724522,0,1954852,7213,141171,0,8828,1642,94978,195088,0,0,0,0,59112,682,1270457,83119,199815,0,0,0,4215,108574,0,7845,0,54408,0,108706,17884,0,0,239,658251,0,0,270770,6712,60309,513494,230434,39824,158380,0,"Eubacterium ventriosum"
"Haemophilus parainfluenzae",0,132031,736,0,7983,0,0,3358,0,460962,411,6006,0,0,1799,51346,560,0,0,0,23544,14736,0,0,50740,0,5159,2524,0,0,0,0,391982,8930,14916,0,0,0,0,0,6714,46189,0,0,41727,654,319846,0,9783,0,5402,89505,2815,0,0,484833,3272,421,3567,0,29859,470,1348,0,175817,189138,88711,1440,0,0,1259,213570,0,95713,120070,0,6481,432892,461270,267369,45311,0,0,0,6383,84598,0,46949,0,18554,0,0,664596,27077,0,40285,0,40550,14749,93469,21398,220477,0,0,18431,12033,0,0,311,0,63623,0,0,0,4053,36880,14522,0,179313,1889,204147,0,0,0,0,2396,0,0,"Haemophilus parainfluenzae"
